household_key,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
1,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
7,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
8,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
13,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2
16,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
17,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
18,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
19,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
20,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown
22,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
25,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown
27,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown
31,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
39,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
40,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
42,65+,U,50-74K,Unknown,Single Male,1,None/Unknown
43,35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+
46,45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+
48,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
49,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
52,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
55,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
56,55-64,A,100-124K,Homeowner,2 Adults Kids,4,2
57,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
58,25-34,A,150-174K,Homeowner,2 Adults Kids,4,2
67,45-54,A,Under 15K,Homeowner,2 Adults Kids,5+,3+
71,35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown
74,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
77,35-44,A,100-124K,Homeowner,2 Adults Kids,5+,3+
78,55-64,U,25-34K,Unknown,Single Male,1,None/Unknown
80,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
85,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown
86,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
97,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown
98,35-44,U,35-49K,Unknown,1 Adult Kids,2,1
101,45-54,A,Under 15K,Homeowner,2 Adults Kids,4,2
