department,Super_category
AUTOMOTIVE,AUTOMOTIVE
CHARITABLE CONT,STATIONARY
CHEF SHOPPE,GROCERY
CNTRL/STORE SUP,STORE SUPPLY/MISC
COSMETICS,COSMETICS
COUP/STR & MFG,COUPONS
DAIRY DELI,EGGS & MILK PRODUCTS
DELI,DELI
DELI/SNACK BAR,DELI
DRUG GM,MISC ITEMS
ELECT &PLUMBING,SERVICES
FLORAL,FLORAL
FROZEN GROCERY,GROCERY
GARDEN CENTER,GARDEN SUPPLIES
GM MERCH EXP,MISC ITEMS
GRO BAKERY,GROCERY
GROCERY,GROCERY
HBC,INFANT PRODUCTS
HOUSEWARES,MISC ITEMS
KIOSK-GAS,MISC ITEMS
MEAT,MEAT
MEAT-PCKGD,MEAT
MEAT-WHSE,MEAT
MISC SALES TRAN,COUPONS
MISC. TRANS.,MISC ITEMS
NUTRITION,GROCERY-HEALTHY
PASTRY,SERVICES
PHARMACY SUPPLY,PHARMACY
PHOTO,SERVICES
PORK,MEAT
POSTAL CENTER,GROCERY
PRODUCE,GROCERY
PROD-WHS SALES,GROCERY
RESTAURANT,SERVICES
RX,PHARMACY
SALAD BAR,SERVICES
SEAFOOD,MEAT
SEAFOOD-PCKGD,MEAT
SPIRITS,LIQUIOR
TOYS,TOYS
TRAVEL & LEISUR,GROCERY
VIDEO,VIDEO
VIDEO RENTAL,VIDEO
